result_date,data_name,hybrid_model,shot,run_count,best_la_auc,hybrid_only_la_auc,best_la_aupc,hybrid_only_la_auprc,best_la_f1,hybrid_only_la_f1
2026-03-29,cable,winclip,5,5,0.8740996168582376,0.8559386973180076,0.8944683989020629,0.8838442608957642,0.8546706923168749,0.836591958073552
2026-03-29,transistor,promptad,1,5,0.9091666666666667,0.8761666666666666,0.955775503202035,0.9471382631602523,0.9456844952307792,0.9293380705460598
2026-03-29,transistor,promptad,5,5,0.9719999999999999,0.9030833333333333,0.9903558768925228,0.9627204514965202,0.9645402570154735,0.9265783845615715
2026-03-29,transistor,winclip,1,5,0.9486666666666667,0.908,0.9808926774509438,0.9683101868518943,0.9613144505638604,0.9177398372723102
2026-03-29,transistor,winclip,5,5,0.9728333333333333,0.9176666666666666,0.9908413605728494,0.9714734818436186,0.9582857142857144,0.9158613781857161
2026-03-29,pcb1,promptad,1,5,0.77032,0.74208,0.7943514092663845,0.7720175825166431,0.776322505247454,0.7617461338082714
2026-03-29,pcb1,promptad,5,5,0.8582599999999999,0.85832,0.8827169984909926,0.8815015339131544,0.7998258501837082,0.7899795204311839
2026-03-29,pcb1,winclip,1,5,0.7155400000000001,0.6443,0.7377160788789865,0.6947791852646331,0.7561289786934591,0.7511666785112893
2026-03-29,pcb1,winclip,5,5,0.84318,0.81486,0.8653614136076009,0.8309320870923692,0.7979781653142405,0.7723377078072989
2026-03-29,pcb2,promptad,1,5,0.6776200000000001,0.6314,0.6863168538610382,0.6106467411316773,0.7072504043004991,0.7005025033082011
2026-03-29,pcb2,promptad,5,5,0.73467,0.60705,0.7315334851906009,0.601857947818247,0.7237185126870018,0.6947499549036122
2026-03-29,pcb2,winclip,1,5,0.64862,0.5769,0.6390799844656361,0.5739142554737555,0.7056050931675804,0.6868571410620455
2026-03-29,pcb2,winclip,5,5,0.73964,0.65572,0.72931573004351,0.6388529001220185,0.7457787110691708,0.6902801610694407
2026-03-29,pcb3,promptad,1,5,0.69290099009901,0.6204356435643564,0.6783761767814356,0.6134351722480142,0.7402576005711653,0.7137416113345543
2026-03-29,pcb3,promptad,5,5,0.7205643564356435,0.6815742574257426,0.7036587015625261,0.6531703760011972,0.7363157298286319,0.7219289517717519
2026-03-29,pcb3,winclip,1,5,0.7057821782178217,0.6922376237623762,0.718210087473819,0.712327121403456,0.7167649083231599,0.6903801064413557
2026-03-29,pcb3,winclip,5,5,0.7777425742574258,0.7619009900990099,0.7780903206512237,0.7594815682754017,0.7505648245418703,0.7390022860409686
2026-03-29,pcb4,promptad,1,5,0.896108910891089,0.8789504950495051,0.9035544009644795,0.8837875713030947,0.8423326033745235,0.8220560697988702
2026-03-29,pcb4,promptad,5,5,0.9603168316831683,0.9355346534653466,0.9641004113394918,0.9341115697609579,0.9206171464395885,0.8770584541992339
2026-03-29,pcb4,winclip,1,5,0.8630693069306931,0.7777029702970297,0.8917270093131464,0.8349489824038219,0.8080661226540331,0.7534388989793047
2026-03-29,pcb4,winclip,5,5,0.9435247524752477,0.8880792079207922,0.9535727033729371,0.9029101886889637,0.8812543535666798,0.8178543572277786
